reference_tip,nearest_asv,distance_to_nearest_asv,phylum_panel,taxonomic_panel,Phylum_clean,Class_clean,primary_accession,accession_candidates,arb_context,accession,version,definition,source,organism,isolation_source,geo_loc_name,clone,title,pubmed,reference_keyword,reference_label_keyword
UniArc37,ASV_3787,0.01355,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,U62818,U62818;EA11730,C12; | U.S.A. 94 | 1..1405 | 1-1405 | H94.1.277 | 8990199 | Handel | 50853 | !Dsoil@ | ARB_34FD6317 | ;x8+|weh | R8)*T | e8#+ | o[|D|x | UniArc37 | EA1173 | U62818 | ronment | EA1173 | EA1173 |  EA1173 |  EA11730 | ENA; R | SCA1173 | C12; | SCA1 | U.S.A. 94 | 1..1403 | 1-1403,NA,U62818.1,"Unidentified archaeon SCA1173 16S small subunit ribosomal RNA gene,             partial sequence.",unidentified archaeon SCA1173,unidentified archaeon SCA1173             Archaea; Thermoproteota; environmental samples.,,,SCA1173,NA,NA,environmental,environmental (U62818)
Unc03o9r,ASV_3787,0.01901,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,LN574625,LN574625;KJ461256,KJ461256 | Insecta | GYW-2014 | GYW-2014 | GYW-2014 | GYW-20140 | Ctes@ | C17)0 | 1..1876 | 1-1876 | NKU0150676 | 1589695 |  jigsaw | ARB_D8C5D655 | Unc03o9r | LN574625 | Bum0 | ENA; R | SIGW1492 | SIGW1492 | Cica | F9.73 W0 | 1..1313 | 1-1313 | nB;  | DUSA. | 77133 | E7511A | GV2Imi25,NA,LN574625.1,"Uncultured bacterium partial 16S rRNA gene, clone             SIGW1492_N9D4_16S_A.",uncultured bacterium,uncultured bacterium             Bacteria; environmental samples.,refuse dump Nest 9 layer 4,"Panama:Gamboa, Pipeline Road",SIGW1492_N9D4_16S_A,NA,NA,environmental,environmental (LN574625)
Unc04k9n,ASV_3787,0.02988,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,HQ269160,HQ269160;E30696;CP015846,Esc24570 | CP015846 | FLUFL | USA:FL | feces | 5149160..5150715 | C2260 | FRIK | 016  | 8mCUSA | 83334 | 67/- | KC<? | KA>_1 | Unc04k9n | HQ269160 | An0 | IENA; RDP; | -}FR.; ;  | A05Ch109 | A05Ch109 | C12) | F8.41 E0 | 1..983 | 1-983 | sG R.; ;  | 115547 | E30696 | DroSe254,NA,HQ269160.1,"Uncultured archaeon clone A05Ch109 16S ribosomal RNA gene, partial             sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,"0-7.5 cm soil sample from a meadow
                     incubated as anoxic slurry",Germany: Giessen,A05Ch109,NA,NA,soil,soil (HQ269160)
UniArc39,ASV_2389,0.02641,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,U62813,U62813;EA11510;E11942,rB32 | s B3 | ciat | 5:E11942-E11 | )B0)0 | 92503..93981 | 1-3554804 | Kone.0011942 | 20689770 | /Dn[G] | AGZealand | 515622 | s B316 | E255DB | UniArc39 | EA1151 | U62813 | ronment | EA1151 | EA1151 |  EA1151 |  EA11510 | ENA; R | SCA1151 | C12; | U.S.A. 94 | 1..1402 | 1-1402 | H94.1.277,NA,U62813.1,"Unidentified archaeon SCA1151 16S small subunit ribosomal RNA gene,             partial sequence.",unidentified archaeon SCA1151,unidentified archaeon SCA1151             Archaea; Thermoproteota; environmental samples.,,,SCA1151,NA,NA,environmental,environmental (U62813)
Unc03pua,ASV_383,0.01077,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,KJ467691,KJ467691;LC325188;LS483364,A}36  | S53S5570 | Euinis | LS483364 | Euinis | Euinis | Euinis | Q2@0 | 2202856..2204391 | D; ;  | 1305 | E6CC77 | p;7< | 8pYs | Unc03pua | KJ467691 | An0 | ENA; R | SEV1CB051 | SEV1CB051 | 1..1308 | 1-1308 | arc21 | 115547 | pEunity@ | E8BB61 | BcsVi171 | LC325188 | Cus;,NA,KJ467691.1,"Uncultured archaeon clone SEV1CB051 16S ribosomal RNA gene, partial             sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,"constructed wetland for wastewater
                     treatment",,SEV1CB051,NA,NA,peat/wetland,peat/wetland (KJ467691)
Unc03q0h,ASV_383,0.01835,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,LN574618,LN574618;LN574610,LN574610 | Bum0 | ENA; R | SIGW598 | SIGW598 | Cica | F9.73 W0 | 1..1308 | 1-1308 | nB;  | DUSA. | 77133 | EF31B7 | pXTO | Unc03q0h | LN574618 | Bum0 | ENA; R | SIGW1463 | SIGW1463 | Cica | F9.73 W0 | 1..1308 | 1-1308 | nB;  | DUSA. | 77133 | EB9747 | fmM.,NA,LN574618.1,"Uncultured bacterium partial 16S rRNA gene, clone             SIGW1463_N9D4_16S_A.",uncultured bacterium,uncultured bacterium             Bacteria; environmental samples.,refuse dump Nest 9 layer 4,"Panama:Gamboa, Pipeline Road",SIGW1463_N9D4_16S_A,NA,NA,environmental,environmental (LN574618)
UncCr588,ASV_383,0.0356,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,AY454562,AY454562;AY454555,"AY454555 | ronment | Bte0 | ENA; R | '4B;  | DI_A04 | 1..1139 | pinas | 1314 | Czil | 29281 | E5CF71 | OC8F | 70t,*` | UncCr588 | AY454562 | ronment | Bte0 | ENA; R | '4B;  | E_E12 | 1..1029 | 1-1029 | pinas | 1314 | Czil | 29281 | EEDA9D | >^-*@",NA,AY454562.1,"Uncultured crenarchaeote clone E_E12 16S ribosomal RNA gene,             partial sequence.",uncultured crenarchaeote,uncultured crenarchaeote             Archaea; Thermoproteota; environmental samples.,"brackish end of the Santos-Sao Vicente
                     estuary (site 4)",Brazil,E_E12,NA,NA,environmental,environmental (AY454562)
Unc03pul,ASV_5195,0.02152,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,KJ467725,KJ467725,"0A8@ | DJung | S7-3-11 | soil | 1..1432 | 1-1432 | S7-3-11 | ungal | #202 | 2025509 | EF71C5 | >`):'D | ""S@m | CpL@. | Unc03pul | KJ467725 | An0 | ENA; R | SEV1BG091 | SEV1BG091 | 1..1308 | 1-1308 | arc21 | 115547 | pEunity@ | E51A0D | #z#{ | ![ o | ;v M}",NA,KJ467725.1,"Uncultured archaeon clone SEV1BG091 16S ribosomal RNA gene, partial             sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,"constructed wetland for wastewater
                     treatment",,SEV1BG091,NA,NA,soil; peat/wetland,soil; peat/wetland (KJ467725)
Unc03puv,ASV_5195,0.0261,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,JN562353,JN562353;CP028702,77133 | istal  | E25D95 | Esc37028 | :@Ai | CP028702 | :@Ai | :@Ai | CAi0 | 4355269..4356822 | 1-4682574 | J53 n[G] | CJ53@ | GDKk | Unc03puv | JN562353 | An0 | K@@ | ENA; R | SEAB1DD051 | C10; | SEAB1DD051 | 1..1308 | 1-1308 | scitotenv | nB;  | LATVPEP | 115547 | EB8453,NA,JN562353.1,"Uncultured archaeon clone SEAB1DD051 16S ribosomal RNA gene,             partial sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,constructed wetland,,SEAB1DD051,NA,NA,marine; peat/wetland,marine; peat/wetland (JN562353)
UncCr947,ASV_739,0.01096,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,GQ249641,GQ249641;E77350;JN483449,JN483449 | ENA; R | egory | genhol | SBYW_1496 | Cmat | +B3) | 1..1388 | 1-1388 | CUSA | 155900 | errero Negro | E47C88 | `R~% | UncCr947 | GQ249641 | ronment | Bte0 | IENA; RDP; | nzalez | A02-arc | A02-arc | 1..912 | 1-912 | de la | ESpain | 29281 | rR@@ | {E77350,NA,GQ249641.1,"Uncultured crenarchaeote clone A02-arc 16S ribosomal RNA gene,             partial sequence.",uncultured crenarchaeote,uncultured crenarchaeote             Archaea; Thermoproteota; environmental samples.,marine sediment: 0-2 cm layer,Spain: Bay of Cadiz,A02-arc,NA,NA,marine; sediment,marine; sediment (GQ249641)
Unc046yz,ASV_739,0.02472,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,EF444673,EF444673;EF444663,Unc046zr | EF444663 | An0 | ENA; R | Ele_A_12 | Ele_ | 1..1126 | 1-1126 | Cece | 115547 | EB3823 | YOW@YC | d;3(} | vp8a | Unc046yz | EF444673 | An0 | ENA; R | Lag_A_9 | Lag_A_9 | Lagada | 1..1135 | 1-1135 | Cece | 115547 | EBF926 | rG00 | yDu) | !{ .,NA,EF444673.1,"Uncultured archaeon clone Lag_A_9 16S ribosomal RNA gene, partial             sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,Lagadas hot springs,Greece,Lag_A_9,NA,NA,hot spring/thermal,hot spring/thermal (EF444673)
UncCr529,ASV_739,0.04061,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,AY454556,AY454556;E59462,"ENA; R | '4B;  | D_E07 | 1..955 | 1-955 | pinas | 1314 | Czil | 194842 | \Bum | E59462 | :kgN""h7M_ | N$(+N' | G}pC | UncCr529 | AY454556 | ronment | Bte0 | ENA; R | '4B;  | D_H11 | 1..1047 | 1-1047 | pinas | 1314 | Czil | 29281 | DE6ED | otp3",NA,AY454556.1,"Uncultured crenarchaeote clone D_H11 16S ribosomal RNA gene,             partial sequence.",uncultured crenarchaeote,uncultured crenarchaeote             Archaea; Thermoproteota; environmental samples.,"brackish end of the Santos-Sao Vicente
                     estuary (site 4)",Brazil,D_H11,NA,NA,environmental,environmental (AY454556)
Unc04brs,ASV_1125,0.01207,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,FJ386378,FJ386378;CP030753,"GXSPl173 | CP030753 | Cus; | |@0 | 1964 | zB88 | ropn | lung | 68913..70458 | 1-2318657 | ern, |  S4074 | Oxfor | ?JW{ | Unc04brs | FJ386378 | Hpumilus; | An0 | <5@@ | IENA; RDP; | Arc-CS9 | Arc-CS9 | 1..911 | 1-911 | rict | 115547 | les; | D8E43 | '=@flS=",NA,FJ386378.1,"Uncultured archaeon clone Arc-CS9 16S ribosomal RNA gene, partial             sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,red soil cropland,China: Hunan,Arc-CS9,NA,NA,soil,soil (FJ386378)
Unc04cfc,ASV_1044,0.01106,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,FN691529,FN691529;HQ413062,"UncMe952 | HQ413062 | Q20-56 | Q20-56 | rumen | 1..1203 | 1-1203 | 010  | 253161 | ""Erumen@ | anob | E160A7 | XLa{ | r6a]u | Unc04cfc | FN691529 | Hpumilus; | An0 | IENA; RDP; | N8-D9 | C007 | PEN8-D9 | C11) | F0.88 E0 | 1..904 | 1-904 | OD; ;  | 115547 | les;",NA,FN691529.1,"Uncultured archaeon 16S rRNA gene, clone N8-D9.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,Neuston of Lake Llebreta,Spain:Aiguestortes National Park,N8-D9,NA,NA,freshwater,freshwater (FN691529)
Unc05u7n,ASV_1044,0.088,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,KX077525,KX077525,"IENA; RDP; | Bank  | F3_ach71 | F3_ach71 | 1..942 | 1-942 | Bank  | ?B;  | ment | 115547 | z!B I | E3A97A | JmF> | )JZ# | Unc05u7n | KX077525 | An0 | DENA; | 1B;  | OTU267 | OTU267 | soil | 1..913 | 1-913 | 2""B;  | 115547 | E9113E | X3&R>rb> | ='.9t",NA,KX077525.1,"Uncultured archaeon clone OTU267 16S ribosomal RNA gene, partial             sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,soil,"China: Chongxi wetland, Shanghai",OTU267,NA,NA,soil; peat/wetland,soil; peat/wetland (KX077525)
Unc0449e,ASV_785,0.07748,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,EF444677,EF444677;EF444715;E28107,An0 | ENA; R | Ele_A_60 | Ele_A_60 | 1..1055 | 1-1055 | Cece | 115547 | E28107 | 0$]{ | EJp1 | hR| | gch3 | {+Eg | Unc0449e | EF444677 | An0 | ENA; R | Lag_A_15 | Lag_ | Lagada | 1..1232 | 1-1232 | Cece | 115547 | EA3547 | Unc046te | EF444715 | Bum0,NA,EF444677.1,"Uncultured archaeon clone Lag_A_15 16S ribosomal RNA gene, partial             sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,Lagadas hot springs,Greece,Lag_A_15,NA,NA,hot spring/thermal,hot spring/thermal (EF444677)
Unc04azp,ASV_785,0.03464,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,HQ267259,HQ267259;HQ267270,nshi | 4687 | O:B8)0 | 982690..984199 | 1-3075407 | F299-08 | 18441057 | 498761 | 9i@@ | itob | FBum | EA874D | OC\; | z^GI | Unc04azp | HQ267259 | An0 | IENA; RDP; | HSZ-Q37 | HSZ-Q37 | 1..915 | 1-915 | 10 S | 115547 | ^r@@ | E5E06F | Unc04acw | HQ267270 | Hpumilus;,NA,HQ267259.1,"Uncultured archaeon clone HSZ-Q37 16S ribosomal RNA gene, partial             sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,sediment,China: Yellow River Delta,HSZ-Q37,NA,NA,sediment; freshwater,sediment; freshwater (HQ267259)
UniArc32,ASV_2325,0.00997,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,U62812,U62812;EA11500;EF527097,+GQW | Z<0g | UncM5104 | EF527097 | h2@@ | SIF_4H4 | C11; | SIF_4H4 | 1..1338 | 1-1338 | Kaisersl | 203449 | z6@@ | WEA828E | UniArc32 | EA1150 | U62812 | ronment | EA1150 | EA1150 |  EA1150 |  EA11500 | ENA; R | SCA1150 | C12; | U.S.A. 94 | 1..1405 | 1-1405 | H94.1.277,NA,U62812.1,"Unidentified archaeon SCA1150 16S small subunit ribosomal RNA gene,             partial sequence.",unidentified archaeon SCA1150,unidentified archaeon SCA1150             Archaea; Thermoproteota; environmental samples.,,,SCA1150,NA,NA,environmental,environmental (U62812)
Unc04bq9,ASV_2325,0.02295,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,KC505309,KC505309;KC505292,KC505292 | An0 | IENA; RDP; | AR7-92 | W.G. Hu | AR7-92 | 1..912 | 1-912 | 115547 | permaforst | C16D | `l.1 | k(1X | pz)- | Unc04bq9 | KC505309 | An0 | *A4@ | IENA; RDP; | AR4-79 | W.G. Hu | AR4-79 | 1..912 | 1-912 | 115547 | permaforst | D21C8 | G>.+`L | UncD1322,NA,KC505309.1,"Uncultured archaeon clone AR4-79 16S ribosomal RNA gene, partial             sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,"permafrost soil from Kunlun Mountains
                     Pass, Mt. Kunlun",China: Qinghai-Tibet Plateau,AR4-79,NA,NA,soil,soil (KC505309)
Unc09tat,ASV_478,0.02104,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,FN691539,FN691539;FN691534,FN691534 | An0 | IENA; RDP; | N8-E2 | C007 | PEN8-E2 | F(Glebreta | C11) | F0.88 E0 | 1..910 | 1-910 | OD; ;  | 115547 | D3E79 | Unc09tat | FN691539 | An0 | IENA; RDP; | N8-E7 | C007 | PEN8-E7 | F(Glebreta | C11) | F0.88 E0 | 1..905 | 1-905 | OD; ;  | 115547 | ARB_997FFE8A,NA,FN691539.1,"Uncultured archaeon 16S rRNA gene, clone N8-E7.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,1 m depth of Lake Llebreta,Spain:Aiguestortes National Park,N8-E7,NA,NA,freshwater,freshwater (FN691539)
Unc04cz0,ASV_2896,0.00772,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,GQ871448,GQ871448;AB192029,J(C010 | laelaps | 'C0100 | laelaps | Ctes@ | AD290 | 1..1605 | 1-1605 | 704008 | EACF84 | 6Ns['( | Z8~& | >{tx | pPT! | Unc04cz0 | GQ871448 | An0 | IENA; RDP; | ^B;  | W5P2-J14 | W5P2-J14 | 1..907 | 1-907 | entre | 115547 | D2879 | A&8y{ | UncCl928 | AB192029,NA,GQ871448.1,"Uncultured archaeon clone W5P2-J14 16S ribosomal RNA gene, partial             sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,agricultural soil,Canada,W5P2-J14,NA,NA,soil,soil (GQ871448)
Unc078y1,ASV_2896,0.00768,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,GQ871370,GQ871370,ENA; R | rakulnaleam | M2PT2-51 | JIM2PT2-51. | Termite | B5)0 | 1..1359 | 1-1359 | EM.71 | ngoh | 162155 | ison | a4@@ | EAACB5 | Unc078y1 | GQ871370 | An0 | IENA; RDP; | ^B;  | W5P1-K08 | W5P1-K08 | 1..912 | 1-912 | entre | 115547 | ARB_48A57B82 | 09w- | .jOp | UncTr567,NA,GQ871370.1,"Uncultured archaeon clone W5P1-K08 16S ribosomal RNA gene, partial             sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,agricultural soil,Canada,W5P1-K08,NA,NA,soil,soil (GQ871370)
UncCr818,ASV_6896,0.02835,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,AY278083,AY278083;AY278096,An0 | ENA; R | uniy | PB10 | PB10 | buffalo | rumen | 1..927 | 1-927 | ODndia | 115547 | anob | E01E2A | :N]2 | UncCr818 | AY278083 | ronment | Bte0 | IENA; RDP; | GRU16 | GRU16 | 1..925 | 1-925 | tspahns | 29281 | ARB_D89744AE | u]WY | UncCr842 | AY278096,NA,AY278083.1,"Uncultured crenarchaeote clone GRU16 16S ribosomal RNA gene,             partial sequence.",uncultured crenarchaeote,uncultured crenarchaeote             Archaea; Thermoproteota; environmental samples.,freshwater lake,,GRU16,NA,NA,freshwater,freshwater (AY278083)
Unc0ehf9,ASV_687,0.0194,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,JX196225,JX196225;JX196219,Unc048s2 | JX196219 | protei | An0 | IENA; RDP; | China | IMCUGW13A15 | 1..943 | 1-943 | ygccr | 115547 | ARB_30771CB5 | DW<l0* | sF_V | Unc0ehf9 | JX196225 | An0 | x#@@ | IENA; RDP; | China | IMCUGW13A29 | 1..907 | 1-907 | ygccr | 115547 | EF0EB0 | .tGM | KI1s | Unc048xh,NA,JX196225.1,"Uncultured archaeon clone IMCUGW13A29 16S ribosomal RNA gene,             partial sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,"groundwater samples from Inner
                     Mongolia",China,IMCUGW13A29,NA,NA,environmental,environmental (JX196225)
UncAr611,ASV_687,0.02124,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,KF975586,KF975586,Bum0 | 8.@@ | ENA; R | Cb11 | TS29_ | Cens0 | twins | DTS29 | 1..1332 | 1-1332 | FI.; ;  | 77133 | ;=Etwins@ | C4E4 | UncAr611 | KF975586 | An0 | ENA; R | FMSA14 | FMSA14 | 1..1441 | 1-1441 | IGEB | 115547 | Foroumad | EC8E4B | -<mX9 | '=eHg | &=7,NA,KF975586.1,"Uncultured archaeon clone FMSA14 16S ribosomal RNA gene, partial             sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,mine environment soil,"Iran: Semnan Province, Foroumad chromite
                     mine",FMSA14,NA,NA,soil,soil (KF975586)
Unc03pmm,ASV_687,0.02317,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,LN574594,LN574594,9807 | 4|D9807 | R-49807 | faculta | 1..1451 | 1-1451 | s[C] | D; ;  | 1HBELGIUM. | 1262637 | <Bon@ | 5Emonas | E5641E | /V@t | Unc03pmm | LN574594 | Bum0 | ENA; R | SIGW1487 | SIGW1487 | Cica | F9.73 W0 | 1..1309 | 1-1309 | nB;  | DUSA. | 77133 | E3434F | EebLu171,NA,LN574594.1,"Uncultured bacterium partial 16S rRNA gene, clone             SIGW1487_N9D4_16S_A.",uncultured bacterium,uncultured bacterium             Bacteria; environmental samples.,refuse dump Nest 9 layer 4,"Panama:Gamboa, Pipeline Road",SIGW1487_N9D4_16S_A,NA,NA,environmental,environmental (LN574594)
Unc05fwq,ASV_687,0.0283,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,KF975585,KF975585;JN502332;J131029.111,ENA; R | marow | ncd1734h12c1 | ncd173 | Cens0 | 1..1379 | 1-1379 | Ftgtrca | J131029.111 | (NIH) | 77133 | E16BD9 | GpXy | CE6i | Unc05fwq | KF975585 | An0 | ENA; R | FMSA13 | FMSA13 | 1..1441 | 1-1441 | IGEB | 115547 | Foroumad | ARB_EF2F4845 | sh+  | Unc0m2ti | JN502332,NA,KF975585.1,"Uncultured archaeon clone FMSA13 16S ribosomal RNA gene, partial             sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,mine environment soil,"Iran: Semnan Province, Foroumad chromite
                     mine",FMSA13,NA,NA,soil,soil (KF975585)
Unc04cuz,ASV_5247,0.04742,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,EF022239,EF022239,"1..1360 | 1-1360 | CUSA | 155900 | errero Negro | PDured | ARB_FDC9FC45 | =~1,i | Wp07W | ""<^| | }so> | !csR | d/Nj] | }slF | Unc04cuz | EF022239 | An0 | +!@@ | IENA; RDP; | michail D | Gch_1576 | Elev_ | 1..901 | 1-901 | Papamicha | cCorkl | 115547 | qCpen@ | `C596",NA,EF022239.1,"Uncultured archaeon clone Elev_16S_arch_1576 16S ribosomal RNA             gene, partial sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,"trembling aspen rhizosphere under
                     elevated CO2 conditions",,Elev_16S_arch_1576,NA,NA,root/rhizosphere,root/rhizosphere (EF022239)
Unc04cst,ASV_6803,0.06097,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,EF020668,EF020668,Zinon | 3182 | 1917913..1919394 | 1-2058755 | mobilis | nden | CUSA | 264203 | ogen | ves ZM-203 | 2B8b@ | EE74C8 | ?w / | !q7( | Unc04cst | EF020668 | An0 | IENA; RDP; | michail D | Fh_1379 | Amb_ | 1..901 | 1-901 | Papamicha | cCorkl | 115547 | qCpen@ | EAE247 | 38eh,NA,EF020668.1,"Uncultured archaeon clone Amb_16S_arch_1379 16S ribosomal RNA gene,             partial sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,"trembling aspen rhizosphere under
                     ambient CO2 conditions",,Amb_16S_arch_1379,NA,NA,root/rhizosphere,root/rhizosphere (EF020668)
Unc04cnw,ASV_6803,0.05316,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,EF021295,EF021295;JN438287,"JN438287 | ENA; R | egory | genhol | SBYB_1824 | Cmat | +B3) | 1..1510 | 1-1510 | CUSA | 155900 | errero Negro | ARB_7BD8433B | +@| | Unc04cnw | EF021295 | An0 | j""@@ | IENA; RDP; | michail D | Eh_927 | h_927 | 1..902 | 1-902 | Papamicha | cCorkl | 115547 | qCpen@ | RFDE120F",NA,EF021295.1,"Uncultured archaeon clone Amb_16S_arch_927 16S ribosomal RNA gene,             partial sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,"trembling aspen rhizosphere under
                     ambient CO2 conditions",,Amb_16S_arch_927,NA,NA,root/rhizosphere,root/rhizosphere (EF021295)
Unc04cuy,ASV_97,0.03764,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,EF021854,EF021854,54@@ | ENA; R | ce N | C064 | Cens | $Bns | 1..1442 | 1-1442 | Pace | Sodergr | 155900 | Bowel | E99FB2 | \ww! | Unc04cuy | EF021854 | An0 | IENA; RDP; | michail D | Gch_1156 | Elev_ | 1..901 | 1-901 | Papamicha | cCorkl | 115547 | qCpen@ | ARB_481EE376 | >U$H,NA,EF021854.1,"Uncultured archaeon clone Elev_16S_arch_1156 16S ribosomal RNA             gene, partial sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,"trembling aspen rhizosphere under
                     elevated CO2 conditions",,Elev_16S_arch_1156,NA,NA,root/rhizosphere,root/rhizosphere (EF021854)
UncTha82,ASV_97,0.01769,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,KM214011,KM214011,"""5@@ | ENA; R | Mary | Mary | 49ar1H10 | 49ar1H10 | 1..1403 | 1-1403 | ""B;  | 115547 | eepage v | ndidatus M | EB555C | tATD | UncTha82 | KM214011 | ""5@@ | ENA; R | ishamp | FE.; ;  | D_A08 | 1..1150 | 1-1150 | &lB;  | 651141 | i (C | ARB_F2347122 | u56B | (o|)",NA,KM214011.1,"Uncultured thaumarchaeote clone RSC_ArcCP_A08 16S ribosomal RNA             gene, partial sequence.",uncultured Nitrososphaerota archaeon,uncultured Nitrososphaerota archaeon             Archaea; Nitrososphaerota; environmental samples.,"sediment from sampling site inside
                     Roraima Sur Cave (orthoquartzite cave)",,RSC_ArcCP_A08,NA,NA,sediment; putative AOA context,sediment; putative AOA context (KM214011)
UncTha88,ASV_97,0.02315,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,KM214017,KM214017,",Hla algae | ,Hla algae | +Ga algae | )Ga algae0 | yB;  | Zongyan Wu | 2013 | Cens0 | abscess | 1554246..1555797 | 1-4786791 | Rd., | 38313 | ARB_47F47FB6 | UncTha88 | KM214017 | ""5@@ | ENA; R | ishamp | FE.; ;  | D_B03 | 1..1121 | 1-1121 | &lB;  | 651141 | i (C | ARB_F7D8C5B6 | uT_t | Unc03pd3",NA,KM214017.1,"Uncultured thaumarchaeote clone RSC_ArcCP_B03 16S ribosomal RNA             gene, partial sequence.",uncultured Nitrososphaerota archaeon,uncultured Nitrososphaerota archaeon             Archaea; Nitrososphaerota; environmental samples.,"sediment from sampling site inside
                     Roraima Sur Cave (orthoquartzite cave)",,RSC_ArcCP_B03,NA,NA,sediment; putative AOA context,sediment; putative AOA context (KM214017)
Unc048fr,ASV_685,0.03701,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,KC926395,KC926395;KC926411;EU506814,"]E~w | Unc00svu | EU506814 | Bum0 | ENA; R | WE56g08 | MD20_aap5 | yB8)0 | 1..1397 | 1-1397 | 77133 | Bme@ | D284F | rL\"" | Unc048fr | KC926395 | An0 | V#@@ | IENA; RDP; | Arch_M | 1..948 | 1-948 | 115547 | Cina@ | 8F92EAE9 | iEe | zn-z | Unc04adi | KC926411",NA,KC926395.1,"Uncultured archaeon clone Arch_M1_49 16S ribosomal RNA gene,             partial sequence.",uncultured archaeon,uncultured archaeon             Archaea; environmental samples.,sediments,,Arch_M1_49,NA,NA,sediment,sediment (KC926395)
UncC1608,ASV_685,0.11338,Crenarchaeota,Nitrososphaeria,Crenarchaeota,Nitrososphaeria,AJ535134,AJ535134,Cium | Cium | Cium | Cium0 | ENA; R | S15A-MN131 | ^QC131 | 1..1460 | 1-1460 | 170969 | ep-well | Dured | EE5242 | |%2P_ | UncC1608 | AJ535134 | ronment | Bte0 | IENA; RDP; | ER-130 | 21aF-958aR | ER-130 | 1..900 | 1-900 | 29281 | [`@@ | ARB_B84E279B | >ng1 | l^Am,NA,AJ535134.1,"Uncultured crenarchaeote partial 16S rRNA gene, clone JG36-GR-130.",uncultured crenarchaeote,uncultured crenarchaeote             Archaea; Thermoproteota; environmental samples.,uranium mill tailings,"Germany:Saxony, Johanngeorgenstadt",JG36-GR-130,NA,NA,environmental,environmental (AJ535134)
